tier,rank,name,position,team,notes
10,293,Xavier Legette,WR,CAR,Bye 5
10,294,Max Klare,TE,LA,Bye 11
10,295,Hollywood Brown,WR,PHI,Bye 10
10,296,49ers D/ST,D/ST,SF,Bye 8
10,297,Malik Davis,RB,DAL,Bye 14
10,298,Devin Neal,RB,NO,Bye 8
10,299,Devaughn Vele,WR,NO,Bye 8
10,300,Brenen Thompson,WR,LAC,Bye 7
10,301,Kendre Miller,RB,NO,Bye 8
10,302,Trey Benson,RB,ARI,Bye 14
10,303,Shedeur Sanders,QB,CLE,Bye 11
10,304,Marvin Mims,WR,DEN,Bye 10
10,305,Michael Penix,QB,ATL,Bye 11
10,306,Brashard Smith,RB,KC,Bye 5
10,307,Charlie Smyth,K,NO,Bye 8
10,308,Falcons D/ST,D/ST,ATL,Bye 11
10,309,Mack Hollins,WR,NE,Bye 11
10,310,Joe Mixon,RB,FA,Free agent
10,311,Roman Wilson,WR,PIT,Bye 9
10,312,LeQuint Allen,RB,JAC,Bye 7
10,313,Oscar Delp,TE,NO,Bye 8
10,314,Deshaun Watson,QB,CLE,Bye 11
10,315,J.J. McCarthy,QB,MIN,Bye 6
10,316,Cyrus Allen,WR,KC,Bye 5
10,317,Darren Waller,TE,FA,Free agent
10,318,Darnell Washington,TE,PIT,Bye 9
10,319,Devin Singletary,RB,NYG,Bye 8
10,320,Jerome Ford,RB,WAS,Bye 7
10,321,Dawson Knox,TE,BUF,Bye 7
10,322,Kirk Cousins,QB,LV,Bye 13
10,323,Isaiah Bond,WR,CLE,Bye 11
10,324,Antonio Gibson,RB,FA,Free agent
10,325,Damien Martinez,RB,GB,Bye 11
10,326,Isaac Guerendo,RB,SF,Bye 8
10,327,Phil Mafah,RB,DAL,Bye 14
10,328,Elijah Arroyo,TE,SEA,Bye 11
10,329,Trevor Etienne,RB,CAR,Bye 5
10,330,Kevin Coleman,WR,MIA,Bye 6
10,331,Panthers D/ST,D/ST,CAR,Bye 5
10,332,Eli Raridon,TE,NE,Bye 11
10,333,Eli Heidenreich,RB,PIT,Bye 9
10,334,Zavion Thomas,WR,CHI,Bye 10
10,335,DeMario Douglas,WR,NE,Bye 11
10,336,Kendrick Bourne,WR,ARI,Bye 14
10,337,Jalen Royals,WR,KC,Bye 5
10,338,Will Reichard,K,MIN,Bye 6
10,339,Will Shipley,RB,PHI,Bye 10
10,340,Jaleel McLaughlin,RB,DEN,Bye 10
10,341,Audric Estime,RB,NO,Bye 8
10,342,Jarquez Hunter,RB,LA,Bye 11
10,343,Tahj Brooks,RB,CIN,Bye 6
10,344,Malik Benson,WR,LV,Bye 13
10,345,Tai Felton,WR,MIN,Bye 6
10,346,Michael Carter,RB,TEN,Bye 9
10,347,Devontez Walker,WR,BAL,Bye 13
10,348,Ja'Tavion Sanders,TE,CAR,Bye 5
10,349,KaVontae Turpin,WR,DAL,Bye 14
10,350,Zane Gonzalez,K,MIA,Bye 6
10,351,Odell Beckham,WR,NYG,Bye 8
10,352,Cole Kmet,TE,CHI,Bye 10
10,353,Jaylin Lane,WR,WAS,Bye 7
10,354,Buccaneers D/ST,D/ST,TB,Bye 10
10,355,Andrei Iosivas,WR,CIN,Bye 6
10,356,Raheim Sanders,RB,CLE,Bye 11
10,357,Bears D/ST,D/ST,CHI,Bye 10
10,358,Cedric Tillman,WR,CLE,Bye 11
10,359,Justin Joly,TE,DEN,Bye 10
10,360,Jared Wiley,TE,KC,Bye 5
10,361,Noah Gray,TE,KC,Bye 5
10,362,Kareem Hunt,RB,FA,Free agent
10,363,Nate Boerkircher,TE,JAC,Bye 7
10,364,Ben Sinnott,TE,WAS,Bye 7
10,365,Colts D/ST,D/ST,IND,Bye 13
10,366,Deion Burks,WR,IND,Bye 13
10,367,Luke McCaffrey,WR,WAS,Bye 7
10,368,J'Mari Taylor,RB,JAC,Bye 7
10,369,Titans D/ST,D/ST,TEN,Bye 9
10,370,Giants D/ST,D/ST,NYG,Bye 8
10,371,Julian Hill,TE,NE,Bye 11
10,372,Daniel Bellinger,TE,TEN,Bye 9
10,373,Marlin Klein,TE,HOU,Bye 8
10,374,Olamide Zaccheaus,WR,ATL,Bye 11
10,375,Justin Fields,QB,KC,Bye 5
10,376,Jalen Tolbert,WR,MIA,Bye 6
10,377,Carson Beck,QB,ARI,Bye 14
10,378,Taylen Green,QB,CLE,Bye 11
10,379,Ashton Dulin,WR,IND,Bye 13
10,380,Joshua Palmer,WR,BUF,Bye 7
10,381,Jonnu Smith,TE,FA,Free agent
10,382,Calvin Austin,WR,NYG,Bye 8
10,383,Cade Klubnik,QB,NYJ,Bye 13
10,384,Mac Jones,QB,SF,Bye 8
10,385,Tyler Higbee,TE,LA,Bye 11
10,386,Marcus Mariota,QB,WAS,Bye 7
10,387,Raiders D/ST,D/ST,LV,Bye 13
10,388,Konata Mumpfield,WR,LA,Bye 11
10,389,Roman Hemby,RB,LV,Bye 13
10,390,Savion Williams,WR,GB,Bye 11
10,391,Jets D/ST,D/ST,NYJ,Bye 13
10,392,Anthony Richardson,QB,IND,Bye 13
10,393,Dont'e Thornton,WR,LV,Bye 13
10,394,Jawhar Jordan,RB,HOU,Bye 8
10,395,Ty Simpson,QB,LA,Bye 11
10,396,Tez Johnson,WR,TB,Bye 10
10,397,Cowboys D/ST,D/ST,DAL,Bye 14
10,398,Dameon Pierce,RB,PHI,Bye 10
